 Molecules IDs (A, B) at every time frame where the distance H_{A}O_{B} is less than 2.45 Angs 

 no. of trajectory at every 10 fs	molecule ID A	molecule ID B	distance O_{B}O_{A} (A)	distance H_{A}O_{B} (A)
           1         129         132  0.848706126       1.71630514    
           1         131         194   1.05655038       1.63945115    
           1         132         145   1.14315498       1.64477861    
           1         133         136  0.225165159       1.51228297    
           1         135         198   1.85329390       1.70002925    
           1         136         149   1.28171718       1.68508184    
           1         137         140  0.848704457       1.77676666    
           1         139         202   1.40296030       1.69888210    
           1         140         153   1.26439631       1.60813510    
           1         141         144   1.40296185       1.59433424    
           1         143         206   1.45492291       1.67248321    
           1         144         157  0.692819655       1.60265374    
           1         145         148   1.09119225       1.55029058    
           1         147         210  0.814065993       1.62425447    
           1         148         161   1.24707532       1.56681156    
           1         149         152   1.61080778       1.53495955    
           1         151         214   1.03923118       1.66964149    
           1         152         165  0.571576655       1.68940830    
           1         153         156  0.900665581       1.59862423    
           1         155         218  0.155883193       1.71968138    
           1         156         169  0.519615591       1.62868094    
           1         157         160  0.883344650       1.63278806    
           1         159         222   1.00459099       1.75445139    
           1         160         173   1.36831844       1.74633873    
           1         161         164   1.78401029       1.69676125    
           1         163         226  0.692819655       1.77769542    
           1         164         177   1.64544630       1.61021721    
           1         165         168  0.606218457       1.58911991    
           1         167         230   1.26439798       1.65012193    
           1         168         181  0.796743393       1.60227919    
           1         169         172   1.16047418       1.70038199    
           1         171         234   1.21243691       1.71674085    
           1         172         185   1.17779505       1.60822856    
           1         173         176   1.55884504       1.59618318    
           1         175         238   1.33367991       1.65921664    
           1         176         189   1.47224379       1.67266214    
           1         177         180   1.24707532       1.79466081    
           1         179         242   1.54152417       1.71644950    
           1         181         184   1.02190864       1.73075318    
           1         183         246   1.03923118       1.67937434    
           1         185         188   1.17779505       1.73844647    
           1         187         250   1.92257738       1.73531139    
           1         189         192   1.33367825       1.68518019    
           1         191         254  0.935309052       1.67195463    
           1         193         196   1.02191019       1.77890289    
           1         196         209   1.09119058       1.80764973    
           1         197         200  0.519613922       1.65994000    
           1         200         213   1.36831999       1.63379991    
           1         201         204  0.640856922       1.62680626    
           1         204         217   1.16047418       1.56524730    
           1         205         208   1.36831999       1.67077875    
           1         208         221   1.12583232       1.66048181    
           1         209         212  0.814062715       1.52348173    
           1         212         225  0.727461457       1.68208301    
           1         213         216   1.92257583       1.71796346    
           1         216         229   1.74937010       1.68347800    
           1         217         220  0.900667191       1.71723545    
           1         220         233  0.467652857       1.67827272    
           1         221         224  0.710140586       1.63649070    
           1         224         237  0.692821324       1.69392967    
           1         225         228   1.02191019       1.70469880    
           1         228         241   1.14315331       1.53058779    
           1         229         232   1.26439631       1.73213756    
           1         232         245   1.02191019       1.69534636    
           1         233         236   1.19511604       1.53029442    
           1         236         249   1.05655372       1.67490387    
           1         237         240  0.433014363       1.59128904    
           1         240         253  0.900667191       1.73795915    
           1         241         244   1.64544785       1.64271116    
           1         245         248   1.33367825       1.67801809    
           1         249         252   1.28171718       1.52869236    
           1         253         256   1.02191019       1.64234436    
           2           1           4   1.55884588       1.71070087    
           2           3          66   1.00458932       1.63963401    
           2           4          17   1.52420485       1.71373820    
           2           5           8   1.52420449       1.64450586    
           2           7          70   1.05655122       1.67842185    
           2           8          21   1.43760204       1.54848313    
           2           9          12   1.14315367       1.73692286    
           2          11          74  0.952627480       1.79139614    
           2          12          25  0.935307801       1.62222099    
           2          13          16   1.55884552       1.70839000    
           2          15          78  0.675500393       1.68050575    
           2          16          29   1.47224307       1.67173481    
           2          17          20   1.45492256       1.73591352    
           2          19          82  0.917987227       1.62277555    
           2          20          33   1.12583280       1.70437694    
           2          21          24   1.48956394       1.76621068    
           2          23          86   1.22975612       1.69711530    
           2          24          37   1.38564098       1.64563048    
           2          25          28   1.10851276       1.60127985    
           2          27          90   1.28171718       1.59843647    
           2          28          41   1.73205078       1.61962962    
           2          29          32   1.26439714       1.69629014    
           2          31          94   1.64544880       1.67098737    
           2          32          45   1.02190983       1.70311511    
           2          33          36  0.987268806       1.58079171    
           2          35          98   1.26439714       1.59652758    
           2          36          49  0.831384420       1.70534444    
           2          37          40   1.31635857       1.57006323    
           2          39         102  0.675499558       1.63688719    
           2          40          53   1.36831999       1.66045272    
           2          41          44   1.35099959       1.67898810    
           2          43         106   1.14315331       1.69413579    
           2          44          57   1.19511521       1.67275190    
           2          45          48   1.35099959       1.64587426    
           2          47         110   1.00458932       1.67110717    
           2          48          61   1.38564098       1.80657172    
           2          49          52  0.952627838       1.61235714    
           2          51         114   1.17779505       1.61669505    
           2          53          56  0.935307384       1.64569139    
           2          55         118   1.42028201       1.62898839    
           2          57          60   1.40296149       1.74166679    
           2          59         122  0.935307384       1.65414631    
           2          61          64  0.917987227       1.73706508    
           2          63         126   2.07846069       1.79922128    
           2          65          68   1.48956394       1.73741150    
           2          67         130   1.92257738       1.70578456    
           2          68          81   1.50688398       1.70918107    
           2          69          72   1.74937165       1.65096939    
           2          71         134   1.36831999       1.72142386    
           2          72          85  0.866025388       1.71933138    
           2          73          76  0.866025388       1.74819946    
           2          75         138  0.866025388       1.62148046    
           2          76          89   1.31635904       1.65604949    
           2          77          80   1.64544785       1.80413342    
           2          79         142  0.346409827       1.76411462    
           2          80          93   1.26439714       1.61990714    
           2          81          84   1.47224307       1.59828091    
           2          83         146   1.33367991       1.85175610    
           2          84          97   1.54152501       1.69263113    
           2          85          88   1.05655038       1.76615429    
           2          87         150   1.33367825       1.76394439    
           2          88         101   1.97453761       1.62686884    
           2          89          92   1.47224307       1.67827284    
           2          91         154   1.26439798       1.63615453    
           2          92         105   1.00458932       1.68931878    
           2          93          96  0.883346319       1.68967438    
           2          95         158   1.97453856       1.77682328    
           2          96         109  0.640858591       1.61049867    
           2          97         100   2.00917959       1.63981581    
           2          99         162   1.73205078       1.66391194    
           2         100         113   1.61080778       1.69758666    
           2         101         104   1.03923035       1.58461416    
           2         103         166  0.917984843       1.57968378    
           2         104         117  0.848704457       1.64395952    
           2         105         108   1.40296102       1.75379705    
           2         107         170  0.969949186       1.64103639    
           2         108         121   1.00458932       1.64818132    
           2         109         112  0.779422522       1.59505630    
           2         111         174  0.866025388       1.69649673    
           2         112         125  0.658179522       1.60059321    
           2         113         116   1.14315331       1.74358988    
           2         115         178   1.00458932       1.66757250    
           2         117         120  0.987269282       1.63966537    
           2         119         182   2.02649951       1.67672300    
           2         121         124  0.987269282       1.56470490    
           2         123         186   1.40296030       1.64587390    
           2         125         128  0.796743393       1.59840441    
           2         127         190   1.28171718       1.60707808    
           2         129         132  0.744782388       1.59627688    
           2         131         194   1.14315331       1.53632677    
           2         132         145   1.10851312       1.59106767    
           2         133         136   1.64544952       1.72528303    
           2         135         198   1.14315498       1.66811216    
           2         136         149   1.03923118       1.70261598    
           2         137         140   1.03922951       1.72629619    
           2         139         202  0.675500393       1.62769866    
           2         140         153   1.12583232       1.79844379    
           2         141         144  0.658179522       1.67418778    
           2         143         206  0.727463126       1.59627688    
           2         144         157  0.554255724       1.67382908    
           2         145         148   1.00458932       1.59524238    
           2         147         210   1.05655205       1.68774998    
           2         148         161   1.03922951       1.71746969    
           2         149         152  0.952628255       1.60807300    
           2         151         214   1.38564098       1.70516813    
           2         152         165  0.900667191       1.62557685    
           2         153         156  0.987268388       1.59389520    
           2         155         218   1.28171718       1.56092942    
           2         156         169   1.17779505       1.56783175    
           2         157         160   1.26439631       1.65215015    
           2         159         222   1.55884504       1.74974239    
           2         160         173   1.88793564       1.85334790    
           2         161         164   1.07386959       1.55720973    
           2         163         226   1.57616603       1.66835284    
           2         164         177  0.640856922       1.65320861    
           2         165         168   1.19511604       1.68579292    
           2         167         230   1.38563931       1.66838324    
           2         168         181   1.64544952       1.72632563    
           2         169         172   1.68008971       1.66358030    
           2         171         234   1.50688398       1.77724481    
           2         172         185  0.952628255       1.62397540    
           2         173         176   1.59348679       1.72655654    
           2         175         238  0.848706126       1.68157768    
           2         176         189  0.831383586       1.58600068    
           2         177         180   1.03922951       1.73827410    
           2         179         242   1.07387125       1.63343191    
           2         181         184  0.987270117       1.65541542    
           2         183         246  0.744780719       1.72336745    
           2         185         188  0.987268388       1.62840390    
           2         187         250   1.29903972       1.70795357    
           2         189         192  0.831383586       1.77530193    
           2         191         254   1.47224224       1.77499425    
           2         193         196  0.554259062       1.58574939    
           2         196         209   1.02191019       1.67433465    
           2         197         200   1.73205411       1.71341789    
           2         200         213   1.26439965       1.78731656    
           2         201         204   1.62812877       1.69534576    
           2         204         217   1.07387292       1.71353471    
           2         205         208   1.31635904       1.62249899    
           2         208         221   1.12583232       1.70076394    
           2         209         212   1.14315331       1.66916096    
           2         212         225   1.12583566       1.77098846    
           2         213         216   1.02191019       1.72365904    
           2         216         229   1.36832178       1.69260180    
           2         217         220   2.16506362       1.56741750    
           2         220         233   1.78401029       1.63297307    
           2         221         224   1.31635904       1.60937965    
           2         224         237   1.36832178       1.60517931    
           2         225         228   1.03923118       1.63260388    
           2         228         241   1.05654871       1.69578803    
           2         229         232   1.54152751       1.57752991    
           2         232         245   1.21243358       1.71399963    
           2         233         236   1.03922784       1.63823056    
           2         236         249  0.623536050       1.67648435    
           2         237         240   1.07387292       1.68332922    
           2         240         253   1.09119058       1.72310793    
           2         241         244   1.48956144       1.60477185    
           2         245         248   1.02190697       1.62218904    
           2         249         252  0.588897526       1.50026691    
           2         253         256  0.900663912       1.71607232    
           3           1           4   1.58797026       1.76346374    
           3           3          66  0.966851175       1.63661993    
           3           4          17   1.43869519       1.64383245    
           3           5           8   1.56461155       1.52768064    
           3           7          70   1.10033333       1.76272678    
           3           8          21   1.33289778       1.51780021    
           3           9          12   1.14224768       1.68301904    
           3          11          74  0.984360397       1.71829402    
           3          12          25  0.970722616       1.63940823    
           3          13          16   1.35719347       1.65993726    
           3          15          78  0.681868136       1.68758333    
           3          16          29   1.40797889       1.62366176    
           3          17          20   1.42551565       1.72497034    
           3          19          82  0.887100875       1.66081083    
           3          20          33   1.09852004       1.68039644    
           3          21          24   1.41637421       1.73159921    
           3          23          86   1.20964360       1.62475002    
           3          24          37   1.46346200       1.66362429    
           3          25          28   1.20502067       1.60844040    
           3          27          90   1.30227900       1.65471625    
           3          28          41   1.78165162       1.66313076    
           3          29          32   1.25459361       1.73552132    
           3          31          94   1.68445385       1.66550612    
           3          32          45   1.00086033       1.61038685    
           3          33          36  0.946231246       1.54302335    
           3          35          98   1.23114705       1.60572922    
           3          36          49  0.789709210       1.68666291    
           3          37          40   1.37777925       1.59181762    
           3          39         102  0.731509209       1.74017465    
           3          40          53   1.37630332       1.64324188    
           3          41          44   1.34642720       1.64588213    
           3          43         106   1.18315518       1.76121271    
           3          44          57   1.17320132       1.68505776    
           3          45          48   1.38257849       1.64521194    
           3          47         110   1.00677395       1.68911815    
           3          48          61   1.33796597       1.84355128    
           3          49          52  0.942372143       1.62349534    
           3          51         114   1.10175800       1.57982099    
           3          53          56  0.865206122       1.68087876    
           3          55         118   1.41846335       1.58221221    
           3          57          60   1.34235156       1.66946304    
           3          59         122  0.951025963       1.69667006    
           3          61          64  0.857297659       1.68604004    
           3          63         126   2.06296492       1.78755689    
           3          65          68   1.51141000       1.68452299    
           3          67         130   1.95331109       1.65896094    
           3          68          81   1.56946123       1.72533011    
           3          69          72   1.76164961       1.67434013    
           3          71         134   1.49578714       1.75088143    
           3          72          85  0.901546001       1.73197114    
           3          73          76  0.777445316       1.73785603    
           3          75         138  0.892707109       1.63067889    
           3          76          89   1.27360022       1.55500174    
           3          77          80   1.66682410       1.73244500    
           3          79         142  0.259326279       1.67643452    
           3          80          93   1.30219972       1.60665035    
           3          81          84   1.55239224       1.54374051    
           3          83         146   1.27138352       1.72586048    
           3          84          97   1.56891119       1.62248862    
           3          85          88   1.09217167       1.72357821    
           3          87         150   1.28725731       1.77061462    
           3          88         101   1.99284565       1.62026954    
           3          89          92   1.43467176       1.65427661    
           3          91         154   1.27689719       1.65183902    
           3          92         105   1.00114119       1.67626858    
           3          93          96  0.958163559       1.70025802    
           3          95         158   1.88368392       1.76645041    
           3          96         109  0.648897171       1.62985170    
           3          97         100   2.00139856       1.72116935    
           3          99         162   1.60370994       1.73286998    
           3         100         113   1.64082861       1.73248982    
           3         101         104   1.05023634       1.60999501    
           3         103         166  0.911795437       1.58583069    
           3         104         117  0.758603871       1.58618677    
           3         105         108   1.46968853       1.76608396    
           3         107         170  0.974366128       1.57904673    
           3         108         121   1.06939566       1.69844627    
           3         109         112  0.734388351       1.65248668    
           3         111         174  0.882882118       1.74112153    
           3         112         125  0.646332681       1.61416173    
           3         113         116   1.20889378       1.79912949    
           3         115         178   1.03566813       1.62175024    
           3         117         120  0.877892017       1.67979383    
           3         119         182   2.01382685       1.68405044    
           3         121         124  0.981824875       1.61168468    
           3         123         186   1.45511782       1.69466555    
           3         125         128  0.826919556       1.53756773    
           3         127         190   1.23149705       1.53538191    
           3         129         132  0.838185728       1.64425111    
           3         131         194   1.25460100       1.58636129    
           3         132         145   1.14025271       1.66948974    
           3         133         136   1.70539212       1.76059592    
           3         135         198   1.06058085       1.58074105    
           3         136         149   1.10274994       1.73607218    
           3         137         140   1.15028417       1.67280328    
           3         139         202  0.725921988       1.66445494    
           3         140         153   1.15754056       1.66568553    
           3         141         144  0.742849767       1.65324819    
           3         143         206  0.765616715       1.63525999    
           3         144         157  0.613342702       1.64697719    
           3         145         148  0.981242597       1.65924025    
           3         147         210   1.05166101       1.67782807    
           3         148         161   1.03599524       1.67331946    
           3         149         152   1.01694489       1.63140595    
           3         151         214   1.48603821       1.70498097    
           3         152         165   1.01765025       1.64194548    
           3         153         156  0.973510504       1.64161837    
           3         155         218   1.26960444       1.56906092    
           3         156         169   1.18024635       1.62312949    
           3         157         160   1.24883950       1.64848089    
           3         159         222   1.53847826       1.73138952    
           3         160         173   1.91248977       1.86826503    
           3         161         164   1.05085826       1.62262642    
           3         163         226   1.59552193       1.69818974    
           3         164         177  0.676512957       1.62195337    
           3         165         168   1.31536293       1.57993305    
           3         167         230   1.39880919       1.62696218    
           3         168         181   1.64983010       1.72081470    
           3         169         172   1.65632677       1.65841639    
           3         171         234   1.59258664       1.74502146    
           3         172         185  0.946295202       1.61746967    
           3         173         176   1.63602102       1.70459175    
           3         175         238  0.865031004       1.61352277    
           3         176         189  0.787285149       1.63378346    
           3         177         180   1.18493426       1.66432095    
           3         179         242   1.02155674       1.56008768    
           3         181         184  0.919084966       1.67154014    
           3         183         246  0.782536149       1.73076153    
           3         185         188  0.958066046       1.69876170    
           3         187         250   1.35961163       1.83807611    
           3         189         192  0.771348476       1.65392900    
           3         191         254   1.52343845       1.83483422    
           3         193         196  0.630652070       1.60366344    
           3         196         209   1.08327174       1.71610796    
           3         197         200   1.69011462       1.58667493    
           3         200         213   1.21933484       1.80038202    
           3         201         204   1.62827075       1.71048248    
           3         204         217   1.03026175       1.68777692    
           3         205         208   1.25554264       1.60881269    
           3         208         221   1.08698177       1.68417501    
           3         209         212   1.16023302       1.60195792    
           3         212         225   1.05355561       1.70931482    
           3         213         216  0.973561704       1.71132767    
           3         216         229   1.31968570       1.67220950    
           3         217         220   2.17423439       1.63908482    
           3         220         233   1.90294075       1.64688337    
           3         221         224   1.37294674       1.56360459    
           3         224         237   1.51393878       1.57208586    
           3         225         228  0.951939464       1.63279712    
           3         228         241   1.07796288       1.68606758    
           3         229         232   1.45832896       1.52419627    
           3         232         245   1.12058616       1.68483257    
           3         233         236   1.06027853       1.68906558    
           3         236         249  0.584632576       1.72662425    
           3         237         240   1.14686322       1.67960870    
           3         240         253  0.990264773       1.70770478    
           3         241         244   1.50635707       1.66193151    
           3         245         248   1.01654184       1.66427803    
           3         249         252  0.665495396       1.60371101    
           3         253         256  0.791779757       1.64091682    
           4           1           4   1.62515187       1.80538082    
           4           3          66  0.981643200       1.65716732    
           4           4          17   1.42153573       1.61626482    
           4           5           8   1.62075269       1.53927839    
           4           7          70   1.14102328       1.67587805    
           4           8          21   1.29837286       1.56223202    
           4           9          12   1.12772119       1.71975052    
           4          11          74  0.970128417       1.72741735    
           4          12          25  0.992302299       1.61720610    
           4          13          16   1.23324275       1.61318982    
           4          15          78  0.656450868       1.63436067    
           4          16          29   1.37808049       1.63742340    
           4          17          20   1.35782409       1.67842829    
           4          19          82  0.881917536       1.63465762    
           4          20          33   1.06960881       1.72206795    
           4          21          24   1.34396577       1.68583369    
           4          23          86   1.19180822       1.57734859    
           4          24          37   1.45672584       1.67766178    
           4          25          28   1.25009906       1.53097701    
           4          27          90   1.32970726       1.63083565    
           4          28          41   1.79360104       1.67684984    
           4          29          32   1.25003314       1.69010019    
           4          31          94   1.71528816       1.60045362    
           4          32          45  0.966525793       1.54414868    
           4          33          36  0.997735560       1.61299276    
           4          35          98   1.23510468       1.61235285    
           4          36          49  0.797945142       1.66201496    
           4          37          40   1.43320787       1.66302848    
           4          39         102  0.828952134       1.70708334    
           4          40          53   1.44147146       1.63038146    
           4          41          44   1.31436312       1.64483333    
           4          43         106   1.20843124       1.71133673    
           4          44          57   1.07329822       1.67630291    
           4          45          48   1.35568821       1.65880108    
           4          47         110  0.979452014       1.73659217    
           4          48          61   1.28338051       1.81862533    
           4          49          52  0.965020597       1.66486168    
           4          51         114   1.07496643       1.52861726    
           4          53          56  0.826969564       1.59348607    
           4          55         118   1.35697210       1.61542952    
           4          57          60   1.22865975       1.71302867    
           4          59         122  0.987968802       1.65431142    
           4          61          64  0.841246963       1.59974265    
           4          63         126   2.02375770       1.65916026    
           4          65          68   1.54013658       1.69133162    
           4          67         130   1.94543695       1.67649543    
           4          68          81   1.60750997       1.76354611    
           4          69          72   1.79223049       1.64759839    
           4          71         134   1.56889963       1.75995982    
           4          72          85  0.937164009       1.66555238    
           4          73          76  0.643663347       1.63021445    
           4          75         138  0.955692410       1.68507969    
           4          76          89   1.20018876       1.59878087    
           4          77          80   1.63961792       1.62343907    
           4          79         142  0.186882749       1.67742741    
           4          80          93   1.33330333       1.64765310    
           4          81          84   1.56805885       1.59696829    
           4          83         146   1.18773234       1.69157970    
           4          84          97   1.56647229       1.60278654    
           4          85          88   1.10034239       1.71772265    
           4          87         150   1.26476467       1.74686432    
           4          88         101   2.01157475       1.64270651    
           4          89          92   1.40657938       1.61290658    
           4          91         154   1.24175990       1.65029764    
           4          92         105  0.995712459       1.64541090    
           4          93          96   1.06813872       1.64971125    
           4          95         158   1.79047549       1.72028816    
           4          96         109  0.695777237       1.65759218    
           4          97         100   1.99856174       1.62886345    
           4          99         162   1.51168740       1.61983919    
           4         100         113   1.65356660       1.66067600    
           4         101         104   1.04775941       1.61671698    
           4         103         166  0.894671142       1.63490200    
           4         104         117  0.662598133       1.60631704    
           4         105         108   1.53549254       1.76542318    
           4         107         170  0.974075377       1.59489644    
           4         108         121   1.17788088       1.64295936    
           4         109         112  0.730686605       1.59557724    
           4         111         174  0.879302680       1.68809676    
           4         112         125  0.663340569       1.62786674    
           4         113         116   1.26088619       1.81317055    
           4         115         178   1.03264701       1.68666804    
           4         117         120  0.804380536       1.72056365    
           4         119         182   2.00109649       1.70927596    
           4         121         124   1.04170394       1.62788212    
           4         123         186   1.46807301       1.64604151    
           4         125         128  0.862986922       1.52663469    
           4         127         190   1.15748107       1.58785760    
           4         129         132  0.930198312       1.67959797    
           4         131         194   1.36793363       1.57804656    
           4         132         145   1.16487134       1.70175183    
           4         133         136   1.73220277       1.80024743    
           4         135         198  0.939545929       1.61793661    
           4         136         149   1.13400888       1.63689053    
           4         137         140   1.26629424       1.63632321    
           4         139         202  0.688458860       1.78573358    
           4         140         153   1.19122589       1.61116481    
           4         141         144  0.785137832       1.57603002    
           4         143         206  0.770890951       1.61541080    
           4         144         157  0.666740835       1.64841127    
           4         145         148  0.925209820       1.63812959    
           4         147         210   1.04293954       1.61402345    
           4         148         161   1.01503539       1.66278362    
           4         149         152   1.06431234       1.73109841    
           4         151         214   1.56480646       1.68965411    
           4         152         165   1.13606536       1.75183463    
           4         153         156  0.990385413       1.63267243    
           4         155         218   1.26037252       1.57881117    
           4         156         169   1.20164227       1.68472910    
           4         157         160   1.24807644       1.65440094    
           4         159         222   1.53669751       1.73453104    
           4         160         173   1.93508506       1.94178832    
           4         161         164   1.02913857       1.56203878    
           4         163         226   1.59307730       1.72328091    
           4         164         177  0.672390044       1.61288142    
           4         165         168   1.46035075       1.67125046    
           4         167         230   1.37794518       1.71519947    
           4         168         181   1.72604489       1.69466126    
           4         169         172   1.60823262       1.66689134    
           4         171         234   1.65262663       1.75950682    
           4         172         185  0.899847925       1.61299121    
           4         173         176   1.65633166       1.72734296    
           4         175         238  0.814645767       1.60689414    
           4         176         189  0.737577140       1.60718048    
           4         177         180   1.26367772       1.70283854    
           4         179         242  0.921853364       1.60791945    
           4         181         184  0.911068678       1.73016191    
           4         183         246  0.824771404       1.71880484    
           4         185         188  0.910885274       1.70407760    
           4         187         250   1.37440872       1.82935476    
           4         189         192  0.707821429       1.59391689    
           4         191         254   1.60932779       1.75694180    
           4         193         196  0.654362202       1.63521707    
           4         196         209   1.07417023       1.69447815    
           4         197         200   1.62886202       1.61425257    
           4         200         213   1.16763639       1.84120250    
           4         201         204   1.64171648       1.67041850    
           4         204         217   1.03710032       1.71982872    
           4         205         208   1.22988009       1.67565191    
           4         208         221   1.01059866       1.60186827    
           4         209         212   1.20853198       1.65673721    
           4         212         225   1.10709417       1.65702391    
           4         213         216  0.958754838       1.67452264    
           4         216         229   1.33740306       1.59342766    
           4         217         220   2.21247053       1.61008632    
           4         220         233   2.06145525       1.73090947    
           4         221         224   1.38581109       1.65123451    
           4         224         237   1.66094363       1.67725360    
           4         225         228  0.933204651       1.63091803    
           4         228         241   1.09989560       1.68668211    
           4         229         232   1.45145082       1.66827655    
           4         232         245   1.06144476       1.60345316    
           4         233         236   1.12905335       1.63240099    
           4         236         249  0.586594939       1.66389906    
           4         237         240   1.22933495       1.68779123    
           4         240         253  0.935494065       1.76998901    
           4         241         244   1.51189733       1.61337185    
           4         245         248  0.962154269       1.72760224    
           4         249         252  0.759143233       1.59163809    
           4         253         256  0.751653910       1.68826711    
           5           1           4   1.64047372       1.75566936    
           5           3          66   1.01715887       1.71381235    
           5           4          17   1.37358356       1.62422836    
           5           5           8   1.65054226       1.58837199    
           5           7          70   1.14969194       1.72554886    
